name,year_established,year_active,systems_res,systems_com,states_active,headquarters_street,headquarters_city,headquarters_state,headquarters_zip,headquarters_country,headquarters_link,office_latlongs,lat,lng
PEP solar,1978,1981,7116,5,AZ,2025+W+Deer+Valley+Road+Suite+104,Phoenix,AZ,85027,US,https://www.google.com/maps/?q=2025%20W%20Deer%20Valley%20Road%20Suite%20104%20Phoenix%20AZ%2085027,"33.6819,-112.0996",33.6836121,-112.1030564
Green Power Solutions,2006,2006,100,50,NJ|NY,121+East+24th+Street,New+York,NY,10010,United States,https://www.google.com/maps/?q=121%20East%2024th%20Street%2C%204th%20Floor%20New%20York%20NY%2010010,"40.7611,-73.8916",40.7405961,-73.9847622
Northeast Solar,2009,2009,602,104,MA,136+Elm+St,Hatfield,MA,1038,United States,https://www.google.com/maps/?q=136%20Elm%20St%20Hatfield%20MA%2001038,,42.3604174,-72.6292535
Complete Solar,2010,2010,4000,,CA,1850+Gateway+Dr+Suite+450,San+Mateo,CA,94404,United States,https://www.google.com/maps/?q=1850%20Gateway%20Dr.%20Suite%20450%20San%20Mateo%20California%2094404,,37.55663,-122.2798768
"Ecogen Services, LLC",2012,2012,400,20,MA,50+Howe+Avenue,Millbury,MA,1527,United States,https://www.google.com/maps/?q=50%20Howe%20Avenue%2C%20Building%20G%20Millbury%20MA%2001527,,42.197742,-71.7570269
Home Energy Systems,2001,2001,1000,50,CA,5980+Fairmount+Ave,San+Diego,CA,92120,United States,https://www.google.com/maps/?q=5980%20Fairmount%20Ave.%20San%20Diego%20CA%2092120,,32.7836794,-117.1024835
Mohave Solar,2007,1989,1000,15,AZ,1849+W+Acoma+Blvd,Lake+Havasu+City,AZ,86403,USA,https://www.google.com/maps/?q=1849%20W%20Acoma%20Blvd%20Lake%20Havasu%20City%20AZ%2086403,,34.4966476,-114.3454944
Lotus Solar,1993,1993,42000,8,NY,98+Green+Street,Hudson,NY,12534,US,https://www.google.com/maps/?q=98%20Green%20Street%20Hudson%20NY%2012534,"42.247,-73.7552",42.2486902,-73.7763299
ECS Solar Energy Systems LLC,1977,1977,500,30,FL,4111C+NW+6th+St,Gainesville,FL,32609,United States,https://www.google.com/maps/?q=4111-C%20NW%206th%20St%20Gainesville%20FL%2032609,,29.6910339,-82.3316578
Pro Solar LLC,1978,2016,400,12,NC|TX,15301+Storm+Drive,Austin,TX,78734,United States,https://www.google.com/maps/?q=15301%20Storm%20Drive%20Austin%20TX%2078734,,30.3834964,-97.9368914
BCI Solar,2006,2009,110,15,AZ,1040+E+Adams+St,Show+Low,AZ,85901,United States,https://www.google.com/maps/?q=1040%20E.%20Adams%20St.%20Show%20Low%20Arizona%2085901,,34.2568819,-110.03596
Reliable Power & Solar,1991,2008,900,30,NJ,1085+Route+9,Howell,NJ,7731,US,https://www.google.com/maps/?q=1085%20Route%209%20Howell%20NJ%2007731,,40.2008045,-74.2544073
Midwest Solar Power LLC,2009,2009,50,10,WI,405+Bordner+Drive,Madison,WI,53705,United States,https://www.google.com/maps/?q=405%20Bordner%20Drive%20Madison%20WI%2053705,,43.0724247,-89.4795526
California Solar Electric Company,2000,2000,950,50,CA,149+E+Main+Street,Grass+Valley,CA,95945,United States,https://www.google.com/maps/?q=149%20E%20Main%20Street%20Grass%20Valley%20CA%2095945,"39.2081,-121.0069",39.2192475,-121.0599357
Solar Power Pros,2013,2013,200,10,CO,7344+S+Alton+Way,Centennial,CO,80112,United States,https://www.google.com/maps/?q=7344%20S%20Alton%20Way%20Centennial%20Colorado%2080112,,39.5846541,-104.8811389
Green Mountain Solar,2017,2008,,,VT,22+Commerce+St,Hinesburg,VT,5461,United States,https://www.google.com/maps/?q=22%20Commerce%20St.%20Hinesburg%20VT%2005461,,44.3340773,-73.1111938
Alvarez Solar Builders,2016,2016,12,2,CA,921+Delaware+St,Imperial+Beach,CA,91932,United States,https://www.google.com/maps/?q=921%20Delaware%20St%20Imperial%20Beach%20CA%2091932,,32.579902,-117.1170765
Alternative Energy Southeast,2007,2007,180,25,GA|SC,615+Deer+Run+SW,Lilburn,GA,30047,United States,https://www.google.com/maps/?q=615%20Deer%20Run%20SW%20Lilburn%20GA%2030047,,33.8842631,-84.0870318
Ecology Solar LLC,2014,2015,7,8,CO,2445+Glenarm+Pl,Denver,CO,80205,United States,https://www.google.com/maps/?q=2445%20Glenarm%20Pl%20Denver%20CO%2080205,,39.752084,-104.9801975
Arch Roofing LLC,2011,2011,30,25,AR|IL|MO,907+Harbor+Oaks+Ct,St+Louis,MO,63031,US,https://www.google.com/maps/?q=907%20Harbor%20Oaks%20Ct%20St%20Louis%20MO%2063031,,38.8005672,-90.3587099
"SunWind, LLC",2009,,,,MA,300+Cranberry+Highway,Orleans,MA,2653,USA,https://www.google.com/maps/?q=300%20Cranberry%20Highway%20Orleans%20MA%2002653,,41.776242,-70.0093712
Fiveboro Solar,2011,,,,NY,673+Vanderbilt+Avenue+3a,Brooklyn,NY,11238,US,https://www.google.com/maps/?q=673%20Vanderbilt%20Avenue%20%233a%20Brooklyn%20New%20York%2011238,,40.676549,-73.968922
Endurance Solar and Engineering,2009,,,,CO|WY,4700+Sterling+Dr+Unit+D,Boulder,CO,80301,US,https://www.google.com/maps/?q=4700%20Sterling%20Dr.%20Unit%20D%20Boulder%20CO%2080301,,40.0269788,-105.2432727
Buglet Solar,,,,,CO,722+Iowa+Street,Golden,CO,80403,US,https://www.google.com/maps/?q=722%20Iowa%20Street%20Golden%20CO%2080403,,39.7659046,-105.2309312
Land and Sea Solar,25,25,200,,CA,333+Alder+Ave,Ben+Lomond,CA,95005,US,https://www.google.com/maps/?q=333%20Alder%20Ave%20Ben%20Lomond%20CA%2095005,,37.0823278,-122.080804
All Bay Solar,2011,2011,500,,CA,5809+Mission+St,San+Francisco,CA,94112,US,https://www.google.com/maps/?q=5809%20Mission%20St%20San%20Francisco%20CA%20%2094112,,37.7093016,-122.4506336
Vivax Pros,2004,2007,400,45,CO,501+S+Lipan+St,Denver,CO,80223,United States,https://www.google.com/maps/?q=501%20S%20Lipan%20St%20Denver%20CO%2080223,,39.7073022,-105.0018219
Fresco Solar ,2008,2008,150,30,CA,16875+Joleen+Way,Morgan+Hill,CA,95037,US,https://www.google.com/maps/?q=16875%20Joleen%20Way%20Morgan%20Hill%20CA%2095037,,37.127559,-121.6385597
Sunny Cambridge Multifamily Consultant,,,,,MA,675+Massachusetts+Ave+9th+Floor,Cambridge,MA,2139,United States,https://www.google.com/maps/?q=675%20Massachusetts%20Ave%209th%20Floor%20%20Cambridge%20MA%2002139,,42.3658768,-71.1039555
Go Solar Inc.,2009,2009,250,5,CO,6438+S+Quebec+St+212,Centennial,CO,80111,United States,https://www.google.com/maps/?q=6438%20S%20Quebec%20St%20%23212%20Centennial%20CO%2080111,,39.599812,-104.902167
Rainshadow Solar Inc.,1989,1989,750,22,WA,541,Orcas,WA,98280,United States,https://www.google.com/maps/?q=PO%20Box%20541%20%20Orcas%20WA%2098280,,48.6904085,-122.9210361
Halco,1984,2009,350,15,NY,865+County+Road+6,Phelps,NY,14532,US,https://www.google.com/maps/?q=865%20County%20Road%206%20Phelps%20NY%2014532,,42.993664,-77.013031
Solar-Tec,,2011,10,5,AL|AK|AZ|AR|CA|CO|CT|DE|DC|FL|GA|HI|ID|IL|IN|IA|KS|KY|LA|ME|MD|MA|MI|MN|MS|MO|MT|NE|NV|NH|NJ|NM|NY|NC|ND|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY,120+Valley+Fields+Drive,Pittsburgh,PA,15239,US,https://www.google.com/maps/?q=120%20Valley%20Fields%20Drive%20Pittsburgh%20PA%2015239,,40.491724,-79.7606436
Alternative Clean Energy Solar Store,2014,2014,,,RI,373+Farnum+Pike,Smithfield,RI,2917,United States,https://www.google.com/maps/?q=373%20Farnum%20Pike%2C%20Unit%20B%20Smithfield%20RI%2002917,,41.9085429,-71.5404022
